county_id,county_name,available_ha,requested_xpv_ha,effective_ha_used,missing_ha_to_fit,land_ok,grid_ok,eligible,nearest_substation_km,substations_within_radius,lat,lon,pvgis_Ey_kWh_per_kWp,sat_corrected_Ey_kWh_per_kWp,surrogate_Ey_kWh_per_kWp,Ey_used_kWh_per_kWp,panel_kWp,n_panels_used,annual_energy_kWh,cloud_mean,albedo_mean,error
RO122,Braşov,263171.0,60.0,60.0,0.0,True,True,True,9.820436666595375,23,45.770668941398455,25.36502556139906,1241.7,1122.551579853816,1194.2045037288622,1194.2045037288622,0.45,122448,65802578.88266628,0.6767319455328916,0.0742707806699559,
RO123,Covasna,162652.0,60.0,60.0,0.0,True,True,True,8.898501678771801,12,45.925587740224,25.966795516020355,1220.98,1220.27138568306,1177.4219024671781,1177.4219024671781,0.45,122448,64877830.70098546,,0.0709749851748603,
RO124,Harghita,289349.0,60.0,60.0,0.0,True,True,True,7.143572842128534,8,46.61451957063718,25.64788779480339,1163.14,1009.0448648824117,1127.5056111749607,1127.5056111749607,0.45,122448,62127363.184718214,0.6925576391319433,0.0685819098835089,
RO125,Mureş,368097.0,60.0,60.0,0.0,True,True,True,9.276080360687148,111,46.65296932411399,24.603132623139008,1216.85,1135.1414219588817,1196.6757896424463,1196.6757896424463,0.45,122448,65938750.690562226,0.6676145849956407,0.0744532181559938,
RO126,Sibiu,269192.0,60.0,60.0,0.0,True,True,True,10.306011028610103,15,45.877472973064386,24.247575574746595,1210.97,1210.322537602945,1184.4810570873008,1184.4810570873008,0.45,122448,65266801.41520161,,0.0719327553873071,
RO211,Bacău,296311.0,60.0,60.0,0.0,True,True,True,14.404384635359241,29,46.416561654215045,26.76564044767217,1202.98,1070.464149523124,1174.1013444949024,1174.1013444949024,0.45,122448,64694862.643820316,0.6795506969922118,0.0745512528635086,
RO212,Botoşani,391425.0,60.0,60.0,0.0,True,True,True,12.028485206800449,11,47.86873734959332,26.689522514878668,1182.4,1182.5733843768044,1174.187162635544,1174.187162635544,0.45,122448,64699591.36067869,,0.0853398853334905,
RO213,Iaşi,365993.0,60.0,60.0,0.0,True,True,True,5.821385137202217,6,47.260143343701266,27.151605715205104,1207.37,1207.6077225653507,1198.0035895552228,1198.0035895552228,0.45,122448,66011914.590236075,,0.0859437925458552,
RO214,Neamţ,259039.0,60.0,60.0,0.0,True,True,True,3.780309747981974,17,46.93345219331106,26.491284362904363,1207.72,1207.03915186045,1181.1669778206376,1181.1669778206376,0.45,122448,65084190.34508165,,0.0716378018237351,
RO215,Suceava,343626.0,60.0,60.0,0.0,True,True,True,3.1543910862588005,5,47.513484060420815,25.84114614016292,1095.74,936.0506919965633,1051.9694460253327,1051.9694460253327,0.45,122448,57965199.627109475,0.6946743022029599,0.067822492692833,
RO216,Vaslui,388763.0,60.0,60.0,0.0,True,True,True,3.774977812355395,4,46.45964356475541,27.794603857304836,1239.11,1222.5194927170664,1232.7028163758569,1232.7028163758569,0.45,122448,67923897.50681591,0.6497097193366951,0.086775812587173,
RO221,Brăila,401472.0,60.0,60.0,0.0,True,True,True,5.919751404504557,6,45.096164002323036,27.613369921080107,1296.81,1297.9100115861652,1297.0962049307159,1297.0962049307159,0.45,122448,71472076.24561034,,0.0962544303135909,
RO222,Buzău,372514.0,60.0,60.0,0.0,True,True,True,2.071351377848303,21,45.270766657706986,26.650300345983926,1269.04,1184.6987931531687,1252.1485319261753,1252.1485319261753,0.45,122448,68995387.54678334,0.6609187492479881,0.0811183391219952,
RO223,Constanţa,556336.0,60.0,60.0,0.0,True,True,True,4.054993245838656,89,44.27362238155492,28.32955164669149,1315.53,1480.940242770977,1316.699557490064,1316.699557490064,0.45,122448,72552252.33699451,0.5864673592150211,0.1051459946494022,
RO224,Galaţi,335526.0,60.0,60.0,0.0,True,True,True,6.556893440733307,6,45.80507180791525,27.715551114052246,1257.26,1258.211387048473,1253.9022360812517,1253.9022360812517,0.45,122448,69092019.4516547,,0.0937195948676942,
RO225,Tulcea,374446.0,60.0,60.0,0.0,True,True,True,4.396129042246439,22,45.04204247257863,28.87300609296199,1325.27,1325.622968694278,1323.1070539937002,1323.1070539937002,0.45,122448,72905315.64633928,,0.0864263303432516,
RO226,Vrancea,215548.0,60.0,60.0,0.0,True,False,False,6.359170551108525,2,45.86651946224257,26.86247565237982,1217.97,1292.7969345004383,1218.8546177761918,1218.8546177761918,0.45,122448,67160839.60685661,0.6184270891050497,0.0779910811364124,
RO311,Argeş,274937.0,60.0,60.0,0.0,True,True,True,7.569352018965072,11,45.007057247964596,24.83562301073445,1270.35,1270.005973523626,1213.7295660146624,1213.7295660146624,0.45,122448,66878441.05471352,,0.0772323745156012,
