NUTS_ID,albedo_mean,albedo_m01,albedo_m02,albedo_m03,albedo_m04,albedo_m05,albedo_m06,albedo_m07,albedo_m08,albedo_m09,albedo_m10,albedo_m11,albedo_m12
BG,0.0840730611467267,0.07719427741176613,0.09342673724808692,0.08733043523939688,0.07495502286560052,0.07056655983686674,0.07218981903272603,0.09351790411268228,0.09729279839900624,0.09828747588208639,0.09287858821775068,0.08303141471515219,0.06820570079959952
BG3,0.0840730611467267,0.07719427741176613,0.09342673724808692,0.08733043523939688,0.07495502286560052,0.07056655983686674,0.07218981903272603,0.09351790411268228,0.09729279839900624,0.09828747588208639,0.09287858821775068,0.08303141471515219,0.06820570079959952
BG31,0.08366126146894354,0.07657279638352449,0.09577671334231168,0.08760165923204603,0.07602328117491176,0.0702105366289962,0.07152989449007274,0.08971924850537655,0.09202834122387638,0.0945708335728667,0.09188196956774082,0.08141450231863001,0.07660536118696923
BG311,0.07702814114625917,0.08525381666307415,0.1005301836403921,0.0852125008084266,0.07098792010219768,0.06073459354159977,0.060193631616130006,0.07338651585567946,0.07485109762209445,0.07987282767627446,0.07916285380103251,0.08044047435596105,0.07371127807224791
BG312,0.0843580306463738,0.07225174219073618,0.09554971910136588,0.0841647879874392,0.07612508117933484,0.07084684742285925,0.0731775823104031,0.09266244425933247,0.09709267097997779,0.09842363214078761,0.09583092565682287,0.08202190360928066,0.07414903091814588
BG313,0.08942804138324595,0.07158188697902765,0.09243325912540064,0.08851604490488205,0.0799704391579583,0.0774164099316552,0.07901638057434333,0.10193965476487132,0.11006526193770091,0.11150759133395918,0.10394878984686541,0.07963890182286912,0.07710187621941825
BG314,0.09220815969931473,0.08156762879691934,0.09751367508798459,0.09336611258664951,0.08066992414803759,0.07868045836740188,0.08154307881843043,0.10420754874655651,0.1098969553427684,0.11217231265655833,0.10527477403651371,0.08517512224844136,0.0764303255555149
BG32,0.085618492427758,0.07951185775528895,0.09471573484544198,0.08925084421617394,0.07489420182637935,0.07117526842963467,0.07289260425964263,0.09566073538713692,0.10092924477171493,0.102059638187774,0.09649337131473142,0.08351441924516545,0.06632398889401173
BG321,0.09187791319307641,0.07655044672665773,0.10222830257068077,0.09338981244299147,0.08227366115897894,0.08070506548715962,0.0809177818884647,0.10232650739215259,0.1045353190707309,0.10985182118084695,0.1117852111933408,0.08416434596680726,0.07380668323810527
BG323,0.08685014108300278,0.0773764338457223,0.09539433216506785,0.08955163809906704,0.07548244581981138,0.07335779783925706,0.07636205449869687,0.09719157039441846,0.10339444019196725,0.10705627972397867,0.10005896946347936,0.08257097985287903,0.06440475110168803
BG324,0.08457920528152522,0.07926158568288168,0.09222154621286004,0.08956822553106737,0.07260892191755303,0.06759170246090782,0.06963001096390942,0.09559732051880172,0.10184046277308684,0.09999757568124508,0.09434291641326731,0.08357710644519062,0.06871308877753164
BG325,0.0843189386874459,0.07806201721422183,0.09343867307523769,0.08869782050501736,0.07493922340038878,0.07046589756097932,0.07110228885968145,0.09355870899541441,0.09701522521322391,0.0988968239832683,0.09426641557590441,0.08520238854480573,0.06618178132120772
BG33,0.08295961174984895,0.08077076929269955,0.08604382921478747,0.08423541417187064,0.07324913915128134,0.07016798583263496,0.07215590584355425,0.09625197257780432,0.09923717892632788,0.09763305729165128,0.09010963791043218,0.08569121978197322,0.059969231003170365
BG331,0.0851293213458525,0.07654368927081427,0.09601579209168752,0.08927309513092041,0.075681933760643,0.07083634305745364,0.07173114959150553,0.09822519421577454,0.09171484299004078,0.0974283091723919,0.09340876489877702,0.08793371121088664,0.07275903075933456
BG332,0.08354783950043644,0.08025668043111052,0.08444857833604455,0.08288952538512535,0.07280067997395821,0.07058283424803188,0.0729492809517043,0.09691008012251622,0.10011605905582786,0.09832939569879508,0.08988131981778454,0.08524386600437403,0.0681657739799647
BG333,0.08467958718175721,0.07905528292887741,0.09710638937022952,0.09073016132848959,0.07565559906264147,0.06769176935777069,0.0679062076844275,0.0928620869058302,0.0975615106523037,0.09374110872990318,0.08995216505395041,0.0884085814690306,0.07548418363763226
BG334,0.0824455572033508,0.07511753961443901,0.0968835639456908,0.09337016195058823,0.07023981772363186,0.06934110354632139,0.06754294689744711,0.08507097388307254,0.09293277934193611,0.09704416617751122,0.09622381006677945,0.08553794678300619,0.06004187650978565
HU,0.08189286649282769,0.076350638947555,0.09252020546555643,0.08502355691774098,0.07727453191859135,0.07037200822238474,0.07368121339579028,0.08415558933823018,0.08471348216209837,0.0868677918141422,0.08496499310437222,0.0839464714455288,0.08284391518194176
HU1,0.0876347462957104,0.0813647541217506,0.09775535902008414,0.08756023148695628,0.07907345262356102,0.07649512845091522,0.08278459263965487,0.09613085600237052,0.09443719281504552,0.09449632745236158,0.09178821618358295,0.09110471451034148,0.07862613024190068
HU12,0.0876347462957104,0.0813647541217506,0.09775535902008414,0.08756023148695628,0.07907345262356102,0.07649512845091522,0.08278459263965487,0.09613085600237052,0.09443719281504552,0.09449632745236158,0.09178821618358295,0.09110471451034148,0.07862613024190068
HU120,0.0876347462957104,0.0813647541217506,0.09775535902008414,0.08756023148695628,0.07907345262356102,0.07649512845091522,0.08278459263965487,0.09613085600237052,0.09443719281504552,0.09449632745236158,0.09178821618358295,0.09110471451034148,0.07862613024190068
HU3,0.08186515003012688,0.07632732090435665,0.09249581356014049,0.08501187169231948,0.07726615022631425,0.07034347883285168,0.07363874527554022,0.08409948754751762,0.08467911376972935,0.08682916011871908,0.0849330820647274,0.08391667421718449,0.08284090215212195
HU31,0.07617797343535589,0.07817565515420354,0.09126069715683882,0.08646475695837291,0.07575685930468382,0.06246752957062375,0.06329407770406717,0.07350355148993638,0.074307219568299,0.07457873939562396,0.07741745967218021,0.07955510282511646,0.07735403242432468
HU311,0.07639214444612892,0.07857642100264711,0.09308897826206901,0.08716525887309715,0.07722109178290631,0.06320600464690963,0.062106073190002366,0.07145555691874479,0.0731268945230953,0.07449571552791288,0.07793033355341382,0.08017635630079928,0.07815704877194941
HU312,0.0757971401171678,0.0771652986222075,0.08707245526026643,0.0846802052310261,0.07215750338370676,0.06076500068571586,0.0664426380550857,0.07885566579737585,0.07741148273264556,0.07508096057476837,0.07636349841016864,0.07809962213179746,0.07547135052124936
HU313,0.06803072935953322,0.07950142864137888,0.08814033307135105,0.0901143616065383,0.07604746334254742,0.05505781481042504,0.04929548129439354,0.056853996589779854,0.05681351013481617,0.05952656455338001,0.06363486188153426,0.07537321249643962,0.06600972389181455
HU32,0.08254297284552851,0.0766262346563968,0.09476841112669013,0.08633785211227198,0.07991119589251768,0.07400754198968701,0.07535493822847786,0.08224340149127782,0.08373206344587697,0.08745979948298459,0.08532092197705532,0.08448275969135727,0.08027055405174886
HU321,0.08247046808147139,0.07849528256523261,0.09542630479571668,0.0848045924095461,0.07673972630715471,0.07201098687631094,0.07480581297333967,0.08299577313148904,0.08569368934769539,0.08882595702104869,0.08631679750373401,0.08432550026021973,0.07920519378616923
